Player,Tm,MP,PTS,AST,TRB,STL,BLK,TOV,FG%,3P%,FT%,GmSc,Games,PTS_per_min,AST_per_min,TRB_per_min
Jock Landale,HOU,9.93,3.52,0.88,2.88,0.2,0.32,0.48,0.359,0.2,0.277,3.472,25,0.354,0.089,0.29
Joe Ingles,MIN,4.852,0.833,1.083,0.333,0.083,0.0,0.417,0.056,0.056,0.0,0.767,12,0.172,0.223,0.069
Joel Embiid,PHI,29.893,24.6,4.4,8.067,0.8,1.0,3.2,0.434,0.369,0.818,18.773,15,0.823,0.147,0.27
John Collins,UTA,30.182,18.242,2.242,8.152,1.0,1.061,2.606,0.536,0.401,0.917,14.636,33,0.604,0.074,0.27
John Konchar,MEM,13.7,2.704,1.074,3.889,0.519,0.407,0.37,0.364,0.265,0.13,3.785,27,0.197,0.078,0.284
Johnny Davis,WAS,7.106,2.353,0.324,1.118,0.441,0.176,0.206,0.342,0.129,0.125,1.879,34,0.331,0.046,0.157
Johnny Furphy,IND,7.285,1.938,0.281,1.031,0.281,0.188,0.281,0.246,0.161,0.156,1.497,32,0.266,0.039,0.142
Johnny Juzang,UTA,17.581,7.176,0.971,2.618,0.353,0.147,0.471,0.368,0.342,0.208,4.865,34,0.408,0.055,0.149
Jonas Valančiūnas,WAS,19.997,11.4,2.22,8.18,0.44,0.56,1.76,0.553,0.1,0.715,10.42,50,0.57,0.111,0.409
Jonathan Isaac,ORL,16.54,5.894,0.511,4.83,0.83,1.255,0.426,0.4,0.21,0.406,6.136,47,0.356,0.031,0.292
Jonathan Kuminga,GSW,26.002,16.75,2.188,4.969,0.906,0.562,1.562,0.449,0.319,0.508,11.706,32,0.644,0.084,0.191
Jonathan Mogbo,TOR,16.892,5.308,1.59,4.154,0.718,0.436,0.795,0.447,0.184,0.325,5.438,39,0.314,0.094,0.246
Jordan Clarkson,UTA,25.874,16.63,3.778,3.185,0.889,0.259,2.185,0.406,0.332,0.697,11.396,27,0.643,0.146,0.123
