Player,Tm,MP,PTS,AST,TRB,STL,BLK,TOV,FG%,3P%,FT%,GmSc,Games,PTS_per_min,AST_per_min,TRB_per_min
Miles McBride,NYK,23.266,9.146,2.732,2.39,0.854,0.171,0.707,0.42,0.352,0.364,7.539,41,0.393,0.117,0.103
Mo Bamba,LAC,12.254,5.583,0.417,5.0,0.083,0.75,0.75,0.605,0.243,0.333,5.275,12,0.456,0.034,0.408
Mohamed Bamba,LAC,12.839,3.812,0.688,3.75,0.5,1.188,0.625,0.388,0.262,0.276,3.512,16,0.297,0.054,0.292
Monte Morris,PHO,13.019,4.974,1.667,1.41,0.41,0.077,0.41,0.374,0.215,0.308,4.182,39,0.382,0.128,0.108
Moritz Wagner,ORL,18.804,12.867,1.4,4.933,0.8,0.4,1.633,0.537,0.338,0.6,10.217,30,0.684,0.074,0.262
Moses Moody,GSW,18.543,9.07,1.116,2.163,0.465,0.302,0.721,0.43,0.369,0.402,6.3,43,0.489,0.06,0.117
Moussa Diabaté,CHO,19.009,4.69,0.881,7.119,0.69,0.667,0.929,0.504,0.0,0.257,6.505,42,0.247,0.046,0.375
Myles Turner,IND,30.588,15.087,1.522,6.565,0.826,1.783,1.935,0.466,0.361,0.609,11.591,46,0.493,0.05,0.215
Naji Marshall,DAL,24.456,11.179,2.564,3.538,0.974,0.103,1.385,0.475,0.218,0.551,8.944,39,0.457,0.105,0.145
Naz Reid,MIN,25.964,14.0,1.902,5.235,0.784,0.863,1.196,0.473,0.392,0.558,10.969,51,0.539,0.073,0.202
Neemias Queta,BOS,14.496,5.15,0.675,3.7,0.325,0.7,0.625,0.507,0.0,0.329,5.222,40,0.355,0.047,0.255
Nic Claxton,BRK,26.507,9.911,1.956,7.489,0.933,1.311,1.2,0.554,0.022,0.353,9.902,45,0.374,0.074,0.283
Nick Richards,CHO,22.006,9.0,1.094,8.5,0.312,1.188,1.625,0.497,0.0,0.511,8.728,32,0.409,0.05,0.386
Nick Smith,CHO,8.899,3.143,0.714,0.786,0.286,0.071,0.214,0.307,0.279,0.036,1.807,14,0.353,0.08,0.088
Nick Smith Jr.,CHO,25.962,11.824,2.529,3.0,0.412,0.235,1.588,0.401,0.368,0.265,7.329,17,0.455,0.097,0.116
Nickeil Alexander-Walker,MIN,23.887,8.615,2.404,2.904,0.596,0.288,1.212,0.454,0.414,0.343,6.492,52,0.361,0.101,0.122
Nicolas Batum,LAC,17.474,3.367,1.327,2.837,0.633,0.408,0.429,0.336,0.334,0.112,3.712,49,0.193,0.076,0.162
Nikola Jokić,DEN,36.232,29.696,10.326,12.696,1.826,0.674,3.087,0.586,0.498,0.798,30.567,46,0.82,0.285,0.35
Nikola Jović,MIA,25.011,11.049,2.951,3.927,0.878,0.293,1.341,0.454,0.356,0.573,9.302,41,0.442,0.118,0.157
Nikola Vučević,CHI,32.251,19.51,3.549,10.392,0.922,0.686,1.588,0.555,0.385,0.532,17.704,51,0.605,0.11,0.322
Noah Clowney,BRK,23.045,9.432,0.811,3.919,0.514,0.514,1.027,0.367,0.304,0.462,5.916,37,0.409,0.035,0.17
Norman Powell,LAC,33.25,23.929,2.238,3.595,1.31,0.19,2.048,0.501,0.444,0.737,16.564,42,0.72,0.067,0.108
OG Anunoby,NYK,36.28,16.367,2.02,4.714,1.408,0.878,1.306,0.47,0.344,0.584,12.816,49,0.451,0.056,0.13
Obi Toppin,IND,19.024,9.851,1.511,4.0,0.66,0.362,0.702,0.514,0.301,0.368,8.494,47,0.518,0.079,0.21
Ochai Agbaji,TOR,27.808,10.304,1.63,3.739,0.891,0.587,0.739,0.517,0.361,0.208,8.6,46,0.371,0.059,0.134
Olivier-Maxence Prosper,DAL,9.846,3.463,0.707,2.366,0.463,0.122,0.317,0.289,0.093,0.27,3.202,41,0.352,0.072,0.24
Onyeka Okongwu,ATL,25.108,12.156,2.022,7.978,0.822,0.822,1.0,0.557,0.2,0.499,12.296,45,0.484,0.081,0.318
Orlando Robinson,SAC,8.948,3.0,0.941,2.235,0.353,0.176,0.588,0.355,0.059,0.429,2.412,17,0.335,0.105,0.25
Oso Ighodaro,PHO,14.987,3.575,0.975,3.275,0.45,0.375,0.575,0.489,0.0,0.185,3.658,40,0.239,0.065,0.219
Ousmane Dieng,OKC,11.397,3.862,0.931,2.345,0.517,0.207,0.517,0.343,0.22,0.195,3.197,29,0.339,0.082,0.206
P.J. Washington,DAL,32.938,14.429,2.333,8.357,1.214,1.0,1.905,0.435,0.357,0.473,11.724,42,0.438,0.071,0.254
PJ Hall,DEN,2.889,0.917,0.167,1.083,0.0,0.083,0.083,0.167,0.0,0.125,0.783,12,0.317,0.058,0.375
Pacome Dadiet,NYK,6.391,1.462,0.385,1.0,0.077,0.154,0.077,0.212,0.154,0.077,1.092,13,0.229,0.06,0.156
Paolo Banchero,ORL,33.414,22.316,4.947,7.158,0.737,0.789,3.105,0.42,0.266,0.585,14.726,19,0.668,0.148,0.214
Pascal Siakam,IND,33.101,20.7,3.42,7.38,0.9,0.46,1.3,0.536,0.406,0.748,17.228,50,0.625,0.103,0.223
Pat Connaughton,MIL,15.254,4.3,1.667,2.733,0.133,0.3,0.567,0.433,0.326,0.208,3.777,30,0.282,0.109,0.179
Pat Spencer,GSW,7.719,3.15,1.55,1.5,0.45,0.1,0.6,0.278,0.033,0.225,2.885,20,0.408,0.201,0.194
Patrick Baldwin,WAS,4.502,2.077,0.077,0.923,0.154,0.154,0.154,0.397,0.231,0.077,1.654,13,0.461,0.017,0.205
Patrick Williams,CHI,26.695,9.405,2.167,4.167,0.786,0.619,1.357,0.374,0.346,0.472,6.821,42,0.352,0.081,0.156
Patty Mills,UTA,14.838,4.111,1.222,1.167,0.722,0.167,0.889,0.261,0.222,0.167,2.572,18,0.277,0.082,0.079
Paul George,PHI,31.972,16.781,4.469,5.344,1.719,0.375,2.625,0.422,0.359,0.577,12.341,32,0.525,0.14,0.167
Paul Reed,DET,9.807,4.31,1.0,2.517,1.069,0.552,0.483,0.444,0.184,0.293,4.821,29,0.44,0.102,0.257
Payton Pritchard,BOS,27.676,13.863,3.431,3.667,0.882,0.196,1.02,0.446,0.384,0.344,11.875,51,0.501,0.124,0.132
Pelle Larsson,MIA,12.801,3.848,0.939,1.485,0.455,0.121,0.364,0.359,0.206,0.273,2.939,33,0.301,0.073,0.116
Peyton Watson,DEN,24.153,8.083,1.5,3.438,0.854,1.229,0.896,0.456,0.28,0.493,7.269,48,0.335,0.062,0.142
Precious Achiuwa,NYK,20.469,6.533,1.033,5.833,1.033,0.767,0.833,0.575,0.189,0.305,7.29,30,0.319,0.05,0.285
Quentin Grimes,DAL,22.869,10.292,2.146,3.771,0.667,0.229,1.292,0.418,0.325,0.444,7.89,48,0.45,0.094,0.165
Quenton Jackson,IND,14.088,5.667,1.722,1.5,0.5,0.278,0.611,0.361,0.13,0.306,4.694,18,0.402,0.122,0.106
Quinten Post,GSW,14.134,7.077,1.769,3.385,0.154,0.231,0.538,0.377,0.265,0.385,5.608,13,0.501,0.125,0.239
RJ Barrett,TOR,33.282,21.585,5.683,6.634,0.805,0.317,3.024,0.476,0.372,0.545,15.334,41,0.649,0.171,0.199
Rayan Rupert,POR,7.885,2.486,0.457,1.143,0.229,0.057,0.457,0.271,0.152,0.136,1.72,35,0.315,0.058,0.145
Reece Beekman,GSW,10.84,2.25,1.55,0.75,0.65,0.1,0.5,0.28,0.104,0.15,2.19,20,0.208,0.143,0.069
Reed Sheppard,HOU,11.823,3.556,1.139,1.444,0.639,0.389,0.639,0.301,0.248,0.097,2.411,36,0.301,0.096,0.122
Reggie Jackson,PHI,12.387,4.387,1.452,1.355,0.516,0.097,0.548,0.346,0.263,0.129,3.152,31,0.354,0.117,0.109
Richaun Holmes,WAS,13.939,4.857,1.071,4.643,0.143,0.571,0.357,0.466,0.0,0.476,5.686,14,0.348,0.077,0.333
Ricky Council,PHI,12.5,5.455,0.727,2.045,0.318,0.227,0.364,0.34,0.205,0.395,4.218,22,0.436,0.058,0.164
Ricky Council IV,PHI,17.413,7.905,1.571,2.762,0.619,0.095,0.81,0.455,0.311,0.448,5.967,21,0.454,0.09,0.159
Rob Dillingham,MIN,11.633,5.667,2.333,1.111,0.333,0.0,1.333,0.387,0.287,0.056,3.83,27,0.487,0.201,0.096
Robert Williams,POR,17.676,5.667,1.111,6.0,0.611,1.722,0.944,0.516,0.056,0.333,7.494,18,0.321,0.063,0.339
Ron Holland,DET,15.487,6.327,0.827,2.712,0.596,0.135,0.865,0.435,0.187,0.422,4.183,52,0.409,0.053,0.175
Royce O'Neale,PHO,25.358,9.444,2.111,5.089,0.956,0.556,0.933,0.42,0.395,0.183,8.131,45,0.372,0.083,0.201
Rudy Gobert,MIN,33.274,10.712,1.827,10.385,0.712,1.558,1.346,0.658,0.0,0.595,12.696,52,0.322,0.055,0.312
Rui Hachimura,LAL,32.036,12.786,1.524,5.095,0.833,0.5,0.905,0.513,0.387,0.541,10.529,42,0.399,0.048,0.159
Russell Westbrook,DEN,27.657,12.979,6.396,5.083,1.5,0.5,3.042,0.483,0.29,0.49,11.642,48,0.469,0.231,0.184
Ryan Dunn,PHO,19.175,6.761,0.913,3.457,0.457,0.587,0.413,0.423,0.26,0.116,5.007,46,0.353,0.048,0.18
Ryan Rollins,MIL,12.249,4.971,1.206,1.559,0.706,0.353,0.882,0.383,0.243,0.27,3.774,34,0.406,0.098,0.127
Sam Hauser,BOS,19.885,7.488,1.0,2.93,0.674,0.186,0.372,0.419,0.384,0.047,6.128,43,0.377,0.05,0.147
Sam Merrill,CLE,18.892,7.14,1.581,1.907,0.581,0.186,0.465,0.364,0.321,0.244,5.291,43,0.378,0.084,0.101
Sandro Mamukelashvili,SAS,8.316,4.71,0.484,2.419,0.226,0.258,0.419,0.512,0.343,0.231,4.252,31,0.566,0.058,0.291
Santi Aldama,MEM,24.591,12.651,2.535,6.744,0.814,0.535,1.093,0.466,0.355,0.384,11.456,43,0.514,0.103,0.274
Scoot Henderson,POR,26.521,12.556,5.356,3.067,1.156,0.267,2.667,0.415,0.34,0.557,9.636,45,0.473,0.202,0.116
Scottie Barnes,TOR,34.452,19.974,6.385,7.744,1.487,1.077,3.051,0.448,0.28,0.71,16.449,39,0.58,0.185,0.225
Scotty Pippen ,MEM,22.508,10.848,5.061,3.485,1.061,0.364,2.091,0.45,0.33,0.436,9.264,33,0.482,0.225,0.155
Scotty Pippen Jr.,MEM,18.806,7.389,3.667,3.222,1.5,0.333,1.389,0.417,0.162,0.469,7.222,18,0.393,0.195,0.171
Seth Curry,CHO,13.77,5.595,0.643,1.452,0.429,0.119,0.429,0.357,0.307,0.198,4.105,42,0.406,0.047,0.105
Shaedon Sharpe,POR,30.448,17.386,2.386,3.818,0.818,0.227,1.886,0.439,0.316,0.661,11.064,44,0.571,0.078,0.125
Shai Gilgeous-Alexander,OKC,34.074,32.44,5.9,5.22,1.94,1.0,2.68,0.532,0.367,0.905,26.742,50,0.952,0.173,0.153
Shake Milton,BRK,16.266,6.179,2.103,1.846,0.462,0.077,0.744,0.335,0.227,0.288,5.054,39,0.38,0.129,0.113
Sidy Cissoko,SAS,3.201,1.294,0.353,0.588,0.059,0.0,0.118,0.245,0.118,0.029,0.941,17,0.404,0.11,0.184
Simone Fontecchio,DET,17.664,6.383,0.872,2.894,0.362,0.191,0.787,0.371,0.317,0.426,4.328,47,0.361,0.049,0.164
Spencer Dinwiddie,DAL,25.069,10.3,3.74,2.42,0.9,0.2,1.1,0.376,0.342,0.557,8.672,50,0.411,0.149,0.097
Stanley Umude,MIL,3.154,0.632,0.105,0.737,0.158,0.105,0.105,0.149,0.105,0.053,0.316,19,0.2,0.033,0.234
Stephen Curry,GSW,31.97,22.714,6.143,4.5,1.071,0.5,2.929,0.431,0.389,0.827,17.133,42,0.71,0.192,0.141
Stephon Castle,SAS,25.604,12.625,3.625,2.833,0.792,0.25,2.0,0.388,0.263,0.579,8.385,48,0.493,0.142,0.111
Steven Adams,HOU,12.605,3.771,1.114,5.171,0.286,0.486,0.943,0.51,0.0,0.221,4.797,35,0.299,0.088,0.41
Svi Mykhailiuk,UTA,19.302,9.95,1.85,2.45,0.7,0.25,1.55,0.368,0.323,0.346,6.3,20,0.515,0.096,0.127
T.J. McConnell,IND,18.621,9.837,4.51,2.633,1.224,0.286,1.571,0.506,0.102,0.267,9.11,49,0.528,0.242,0.141
Taj Gibson,CHO,10.933,2.476,0.524,3.429,0.333,0.476,0.619,0.348,0.024,0.175,2.557,21,0.226,0.048,0.314
Talen Horton-Tucker,CHI,11.529,5.85,1.325,1.7,0.375,0.225,0.65,0.33,0.252,0.315,4.4,40,0.507,0.115,0.147
Tari Eason,HOU,23.712,11.206,1.118,6.265,1.941,0.941,0.941,0.467,0.308,0.498,10.585,34,0.473,0.047,0.264
Taurean Prince,MIL,25.605,7.588,2.0,3.608,0.784,0.137,0.941,0.442,0.452,0.196,6.249,51,0.296,0.078,0.141
Terance Mann,LAC,19.79,6.027,1.595,2.892,0.757,0.297,0.676,0.415,0.324,0.214,5.065,37,0.305,0.081,0.146
Terrence Shannon,MIN,4.549,1.5,0.5,0.2,0.2,0.1,0.3,0.417,0.1,0.0,1.21,10,0.33,0.11,0.044
Terry Rozier,MIA,28.576,12.435,2.913,4.152,0.565,0.304,1.435,0.402,0.279,0.601,8.72,46,0.435,0.102,0.145
Thomas Bryant,MIA,14.1,6.294,0.882,3.765,0.471,0.647,0.382,0.476,0.32,0.419,6.429,34,0.446,0.063,0.267
Tidjane Salaün ,CHO,19.297,4.963,1.111,4.185,0.593,0.222,0.852,0.348,0.295,0.254,3.707,27,0.257,0.058,0.217
Tim Hardaway,DET,27.189,10.0,1.552,2.0,0.345,0.0,0.655,0.419,0.35,0.534,6.662,29,0.368,0.057,0.074
Tim Hardaway Jr.,DET,30.814,12.158,1.632,2.684,0.579,0.158,0.737,0.384,0.377,0.524,8.289,19,0.395,0.053,0.087
Tobias Harris,DET,32.001,13.16,2.36,6.02,0.86,0.84,1.12,0.444,0.272,0.633,10.662,50,0.411,0.074,0.188
Tosan Evbuomwan,BRK,24.625,10.0,1.667,4.111,0.667,0.389,1.667,0.448,0.296,0.565,6.956,18,0.406,0.068,0.167
Toumani Camara,POR,32.222,10.18,2.02,5.92,1.4,0.6,1.5,0.438,0.328,0.378,8.85,50,0.316,0.063,0.184
Trae Young,ATL,36.067,23.25,11.375,3.188,1.271,0.208,4.667,0.4,0.328,0.797,18.454,48,0.645,0.315,0.088
Trayce Jackson-Davis,GSW,19.184,7.83,2.064,6.064,0.468,0.723,0.83,0.572,0.0,0.427,8.511,47,0.408,0.108,0.316
Tre Jones,SAS,16.077,4.393,3.714,2.071,0.643,0.179,0.75,0.501,0.19,0.32,5.579,28,0.273,0.231,0.129
Tre Mann,CHO,24.537,14.077,3.0,2.923,0.538,0.308,1.923,0.419,0.346,0.615,8.938,13,0.574,0.122,0.119
Trendon Watford,BRK,16.644,8.176,1.353,3.059,0.471,0.294,1.294,0.417,0.221,0.515,5.076,17,0.491,0.081,0.184
Trevelin Queen,ORL,15.228,4.739,1.391,1.739,1.043,0.348,0.87,0.278,0.244,0.185,3.643,23,0.311,0.091,0.114
Trey Alexander,DEN,4.334,0.875,0.375,0.25,0.062,0.062,0.062,0.161,0.062,0.062,0.4,16,0.202,0.087,0.058
Trey Jemison,NOP,9.883,2.143,0.524,2.905,0.381,0.476,0.619,0.393,0.0,0.179,1.986,21,0.217,0.053,0.294
Trey Lyles,SAC,19.603,6.463,0.951,4.634,0.634,0.463,0.561,0.4,0.294,0.317,5.771,41,0.33,0.049,0.236
Trey Murphy,NOP,33.911,20.211,2.421,4.526,1.053,0.684,1.737,0.452,0.37,0.862,14.3,19,0.596,0.071,0.133
Trey Murphy III,NOP,37.049,25.625,4.188,5.625,1.375,0.875,1.438,0.502,0.401,0.852,21.544,16,0.692,0.113,0.152
Tristan Da Silva,ORL,25.553,8.531,1.714,3.959,0.49,0.245,0.918,0.39,0.306,0.386,6.502,49,0.334,0.067,0.155
Tristan Thompson,CLE,8.038,1.654,0.692,2.962,0.038,0.269,0.385,0.307,0.0,0.087,1.623,26,0.206,0.086,0.368
Tristan Vukcevic,WAS,6.991,3.909,0.818,1.636,0.091,0.091,0.455,0.352,0.12,0.273,2.645,11,0.559,0.117,0.234
Ty Jerome,CLE,19.016,11.286,3.388,2.469,1.163,0.02,1.224,0.514,0.345,0.549,9.998,49,0.593,0.178,0.13
Tyler Herro,MIA,35.592,23.735,5.551,5.571,0.735,0.122,2.653,0.469,0.386,0.772,17.712,49,0.667,0.156,0.157
Tyler Kolek,NYK,5.213,1.893,0.786,0.536,0.25,0.036,0.321,0.289,0.226,0.071,1.496,28,0.363,0.151,0.103
Tyler Smith,MIL,4.783,2.75,0.25,1.188,0.125,0.188,0.375,0.463,0.206,0.062,1.925,16,0.575,0.052,0.248
Tyrese Haliburton,IND,34.04,17.776,8.531,3.592,1.327,0.673,1.776,0.422,0.332,0.636,17.265,49,0.522,0.251,0.106
Tyrese Martin,BRK,21.202,8.0,1.735,3.941,0.382,0.147,1.294,0.361,0.293,0.226,5.474,34,0.377,0.082,0.186
Tyrese Maxey,PHI,38.031,27.841,6.205,3.432,1.932,0.386,2.477,0.441,0.34,0.879,20.468,44,0.732,0.163,0.09
Tyus Jones,PHO,29.508,11.04,5.82,2.42,0.88,0.12,1.32,0.445,0.39,0.297,10.69,50,0.374,0.197,0.082
Vasilije Micić,CHO,21.23,7.472,3.528,2.417,0.417,0.0,2.056,0.334,0.307,0.365,4.431,36,0.352,0.166,0.114
Victor Wembanyama,SAS,33.068,24.419,3.628,10.907,1.07,3.884,3.302,0.466,0.34,0.737,20.672,43,0.738,0.11,0.33
Vit Krejci,ATL,20.571,6.703,2.541,2.649,0.703,0.459,0.946,0.385,0.291,0.27,5.781,37,0.326,0.124,0.129
Walker Kessler,UTA,30.218,11.175,1.55,11.9,0.575,2.375,1.5,0.734,0.025,0.396,14.14,40,0.37,0.051,0.394
Wendell Carter,ORL,24.685,7.333,2.19,7.143,0.667,0.619,0.762,0.46,0.23,0.488,7.862,21,0.297,0.089,0.289
Wendell Carter Jr.,ORL,26.696,10.579,2.474,7.316,1.053,0.368,1.211,0.441,0.214,0.619,9.532,19,0.396,0.093,0.274
Wendell Moore,DET,14.047,4.462,1.385,3.231,0.615,0.231,0.615,0.443,0.192,0.462,4.908,13,0.318,0.099,0.23
Xavier Tillman,BOS,7.927,1.15,0.3,1.7,0.25,0.15,0.3,0.146,0.083,0.025,0.76,20,0.145,0.038,0.214
Yuki Kawamura,MEM,3.272,1.263,0.737,0.368,0.053,0.0,0.211,0.156,0.088,0.105,0.9,19,0.386,0.225,0.113
Yves Missi,NOP,27.221,8.75,1.417,8.021,0.562,1.438,1.188,0.54,0.0,0.473,9.715,48,0.321,0.052,0.295
Zaccharie Risacher,ATL,23.784,11.2,1.178,3.467,0.778,0.467,1.111,0.409,0.256,0.473,7.227,45,0.471,0.05,0.146
Zach Collins,SAS,11.767,4.639,1.444,2.806,0.389,0.417,0.639,0.452,0.269,0.229,4.244,36,0.394,0.123,0.238
Zach Edey,MEM,20.868,9.865,1.0,7.784,0.649,1.189,1.514,0.607,0.217,0.496,9.665,37,0.473,0.048,0.373
Zach LaVine,CHI,34.079,23.682,4.386,4.705,0.909,0.25,2.773,0.491,0.416,0.724,17.225,44,0.695,0.129,0.138
Zeke Nnaji,DEN,6.56,1.871,0.129,1.032,0.097,0.355,0.194,0.364,0.024,0.048,1.239,31,0.285,0.02,0.157
Ziaire Williams,BRK,23.595,9.395,1.421,4.789,1.0,0.421,1.053,0.365,0.283,0.567,7.142,38,0.398,0.06,0.203
Zion Williamson,NOP,28.375,23.267,4.933,7.867,1.2,1.133,3.133,0.508,0.067,0.621,18.4,15,0.82,0.174,0.277
